Wydzial,Indeks
Biologii,1
Centrum Studiów Latynoamerykañskich ,2
Chemii,3
Dziennikarstwa i Nauk Politycznych,4
"Dziennikarstwa, Informacji i Bibliologii",5
Filozofii i Socjologii,6
Fizyki,7
Geografii i Studiów Regionalnych,8
Geologii,9
Germanistyki,10
Instytut Anglistyki,11
Instytut Archeologii ,12
Instytut Historyczny,13
Instytut Komunikacji Specjalistycznej i Interkulturowej,14
Instytut Lingwistyki Stosowanej,15
Instytut Nauk Politycznych,16
Instytut Profilaktyki Spo³ecznej i Resocjalizacji,17
Lingwistyki Stosowanej,18
"Matematyki, Informatyki i Mechaniki",19
Miêdzywydzia³owe Indywidualne Studia Matematyczno-Przyrodnicze,20
Nauk Ekonomicznych,21
Nauk Politycznych i Stosunków Miêdzynarodowych,22
Neofilologii,23
Orientalistyczny,24
Oœrodek Studiów Amerykañskich,25
Pedagogiczny,26
Polonistyki,27
Prawa i Administracji,28
Psychologii,29
Stosowanych Nauk Spo³ecznych i Resocjalizacji,30
Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Angielskiego,31
Uniwersyteckie Kolegium Kszta³cenia Nauczycieli Jêzyka Francuskiego,32
Zarz¹dzania,33
